,iter,mode,avg_return,std_return
0,0,train,3717.5129936182307,0.3530361779417035
1,0,eval,997.54345703125,11.113404273986816
2,1,eval,1177.6640625,174.34176635742188
3,2,eval,2517.11962890625,961.3524169921875
4,3,eval,3416.495849609375,295.68701171875
5,4,eval,3702.5498046875,0.0
6,5,eval,3709.989990234375,0.0
7,6,eval,2167.072021484375,58.322021484375
8,7,eval,3685.66357421875,0.0
9,8,eval,3714.811767578125,0.0
10,9,eval,3709.63427734375,0.0
