seed,env_step,avg_eval_return
5,103,8.08
5,210,11.324325
5,329,20.3
5,443,25.0625
5,555,37.272728
5,666,44.6
5,790,40.916668
5,908,61.285713
5,1021,49.555557
5,1148,33.75
5,1286,39.272728
5,1412,81.5
5,1543,44.444443
5,1656,24.941177
5,1764,42.2
5,1870,29.142857
5,1988,36.416668
5,2154,68.0
5,2262,55.375
5,2395,45.555557
5,2562,72.5
5,2771,85.4
5,2893,80.8
5,3033,84.6
5,3189,142.0
5,3553,116.75
5,3680,101.5
5,3870,102.2
5,4058,111.75
5,4184,143.33333
5,4347,84.8
5,4614,93.0
5,4714,74.0
5,4889,68.5
5,5051,56.25
5,5214,75.0
5,5339,149.33333
5,5502,161.33333
5,5701,158.66667
5,5853,177.0
5,5983,329.0
5,6190,206.5
5,6483,217.33333
5,6744,388.0
5,6849,113.5
5,6988,49.11111
5,7112,40.18182
5,7232,31.461538
5,7339,30.846153
5,7444,33.75
5,7593,29.214285
5,7713,35.333332
5,7842,49.22222
5,7965,63.0
5,8084,155.66667
5,8235,937.0
5,9235,1000.0
5,10142,1000.0
5,11105,1000.0
5,12105,1000.0
5,13105,1000.0
5,14105,1000.0
5,15105,571.0
5,15228,537.0
5,15658,270.5
5,15928,263.5
5,16187,715.0
5,16867,1000.0
5,17867,1000.0
5,18867,1000.0
5,19867,1000.0
5,20867,1000.0
5,21867,1000.0
5,22867,510.0
5,23391,1000.0
5,24391,1000.0
5,25136,1000.0
5,25400,1000.0
5,26400,1000.0
5,27400,1000.0
5,28400,1000.0
5,29400,612.5
5,29860,307.5
5,29978,259.0
5,30978,771.0
5,31971,1000.0
5,32832,1000.0
5,33832,1000.0
5,34832,1000.0
5,35832,1000.0
5,36832,1000.0
5,37832,1000.0
5,38832,1000.0
5,39832,1000.0
5,40832,1000.0
5,41832,1000.0
5,42832,1000.0
5,43832,1000.0
5,44832,1000.0
5,45832,1000.0
