seed,env_step,avg_eval_return
4,101,11.1081085
4,203,13.566667
4,321,18.227272
4,431,27.4
4,544,18.954546
4,668,17.47826
4,776,21.526316
4,876,18.40909
4,995,36.545456
4,1154,34.166668
4,1296,25.058823
4,1442,25.0
4,1556,28.714285
4,1665,43.8
4,1803,40.6
4,1913,46.88889
4,2018,21.4
4,2146,15.037037
4,2269,13.533334
4,2376,21.68421
4,2502,29.785715
4,2613,37.454544
4,2730,32.076923
4,2835,39.166668
4,2967,35.916668
4,3073,59.625
4,3239,50.0
4,3343,48.6
4,3468,42.2
4,3625,31.76923
4,3734,32.692307
4,3857,44.666668
4,3974,38.5
4,4141,48.444443
4,4265,33.333332
4,4387,37.416668
4,4551,46.555557
4,4705,68.71429
4,4826,50.125
4,4945,50.77778
4,5111,83.6
4,5268,62.142857
4,5418,78.5
4,5536,65.25
4,5676,64.0
4,5818,82.333336
4,5957,85.0
4,6071,46.666668
4,6222,76.333336
4,6391,75.333336
4,6505,57.714287
4,6680,65.0
4,6817,88.6
4,6953,86.2
4,7117,75.333336
4,7232,90.0
4,7429,90.6
4,7577,84.8
4,7703,96.4
4,7823,243.5
4,7965,108.8
4,8108,104.0
4,8348,155.25
4,8471,105.25
4,8599,101.8
4,8784,107.25
4,9059,58.857143
4,9212,156.33333
4,9447,103.8
4,9646,105.0
4,9779,140.66667
4,10025,75.5
4,10189,174.0
4,10448,445.0
4,10698,240.5
4,11150,520.0
4,11585,208.66667
4,11790,274.5
4,12130,1000.0
4,13130,1000.0
4,14130,1000.0
4,15130,1000.0
4,16130,1000.0
4,16509,1000.0
4,17509,1000.0
4,18366,1000.0
4,18477,1000.0
4,19477,1000.0
4,20477,1000.0
4,21477,1000.0
4,22477,1000.0
4,23477,1000.0
4,24477,1000.0
4,25477,1000.0
4,26477,1000.0
4,26582,645.0
4,27582,1000.0
4,28582,1000.0
4,29582,1000.0
4,29838,1000.0
