env_step,avg_eval_return
102,11.428572
203,14.892858
307,21.578947
437,26.933332
558,31.142857
667,33.23077
798,36.833332
917,29.357143
1046,29.642857
1175,27.0
1282,24.294117
1388,22.157894
1513,30.923077
1617,29.071428
1729,30.846153
1853,40.3
2045,47.88889
2163,66.666664
2277,42.5
2419,45.444443
2556,67.833336
2739,60.285713
2851,56.22222
2951,40.272728
3058,59.857143
3200,70.166664
3332,55.625
3451,51.75
3595,59.42857
3731,68.42857
3867,74.333336
3975,62.42857
4140,70.166664
4274,65.85714
4392,100.8
4524,83.4
4713,62.285713
4836,76.5
4947,91.2
5124,80.0
5227,69.833336
5371,54.125
5508,65.0
5609,81.833336
5747,62.285713
5988,50.875
6133,90.8
6252,77.333336
6387,81.5
6503,115.5
6656,100.0
6782,92.0
6885,88.0
7009,125.75
7116,419.5
7354,229.0
7510,182.66667
7733,108.8
7872,68.333336
8034,57.42857
8143,62.714287
8291,68.833336
8396,72.666664
8569,111.5
8681,160.33333
8797,68.0
8947,57.285713
9239,202.5
9399,255.5
9692,289.0
9842,248.5
10112,148.66667
10444,254.0
11444,445.0
12444,1000.0
13444,1000.0
13909,1000.0
14241,577.0
15241,1000.0
15369,548.5
16115,537.0
17115,1000.0
18115,1000.0
19115,1000.0
20115,564.0
21115,1000.0
22115,1000.0
22722,1000.0
23722,409.0
24722,1000.0
25420,324.0
25660,537.0
26660,1000.0
27660,990.0
28660,1000.0
29660,1000.0
29807,1000.0
30807,1000.0
31807,595.5
32807,1000.0
