seed,env_step,avg_eval_return
3,103,10.435898
3,205,12.8125
3,305,14.392858
3,442,16.08
3,559,31.0
3,662,29.642857
3,797,58.142857
3,912,23.833334
3,1019,21.8
3,1140,24.058823
3,1244,25.25
3,1370,24.17647
3,1484,22.277779
3,1609,28.2
3,1727,20.2
3,1850,21.65
3,1978,28.533333
3,2101,42.454544
3,2227,64.28571
3,2340,135.33333
3,2547,78.0
3,2649,43.7
3,2782,22.473684
3,2885,13.032258
3,2992,12.65625
3,3100,20.8
3,3201,31.076923
3,3353,28.4375
3,3483,47.0
3,3585,59.285713
3,3708,103.2
3,3848,81.6
3,4022,80.5
3,4125,62.42857
3,4270,88.4
3,4464,68.666664
3,4603,58.57143
3,4709,47.444443
3,4856,119.25
3,5024,91.0
3,5205,475.0
3,5388,117.0
3,5489,68.71429
3,5662,87.0
3,5897,66.666664
3,6010,56.125
3,6157,54.875
3,6281,85.0
3,6479,100.0
3,6646,65.28571
3,6928,91.0
3,7031,92.2
3,7179,81.8
3,7324,50.0
3,7432,74.833336
3,7593,43.6
3,7693,63.714287
3,7809,50.75
3,7968,68.833336
3,8107,63.57143
3,8235,61.0
3,8347,102.6
3,8451,52.875
3,8556,91.333336
3,8730,101.25
3,8837,105.0
3,9010,96.0
3,9206,91.2
3,9373,56.75
3,9483,51.666668
3,9601,83.0
3,9771,69.5
3,9925,37.363636
3,10054,45.555557
3,10212,39.545456
3,10344,40.909092
3,10548,37.583332
3,10684,66.57143
3,10789,38.363636
3,10939,84.2
3,11116,119.0
3,11232,88.71429
3,11366,128.5
3,11556,233.0
3,11718,255.5
3,11937,145.25
3,12084,171.5
3,12247,116.2
3,12471,138.25
3,12757,149.66667
3,13009,104.25
3,13180,86.166664
3,13409,134.0
3,13537,164.25
3,13652,214.5
3,13923,89.2
3,14327,173.66667
3,14625,415.0
3,14759,217.33333
3,15310,213.0
