seed,env_step,avg_eval_return
2,104,10.605263
2,212,13.793103
2,318,25.4375
2,426,25.625
2,541,16.791666
2,657,15.178572
2,762,14.814815
2,877,14.888889
2,978,16.2
2,1087,19.0
2,1195,25.294117
2,1304,25.0625
2,1442,24.470589
2,1570,32.0
2,1739,29.357143
2,1843,23.705883
2,1943,20.0
2,2069,30.857143
2,2182,25.625
2,2298,26.733334
2,2407,33.583332
2,2523,36.545456
2,2635,40.4
2,2737,44.5
2,2868,53.125
2,2979,47.454544
2,3096,71.166664
2,3250,70.5
2,3364,44.2
2,3530,52.5
2,3653,50.666668
2,3804,54.875
2,3929,59.25
2,4056,51.25
2,4200,70.0
2,4344,49.666668
2,4459,105.6
2,4566,63.142857
2,4669,98.8
2,4772,58.857143
2,4891,68.166664
2,5004,34.666668
2,5156,26.8
2,5267,37.166668
