seed,env_step,avg_eval_return
1,101,8.695652
1,201,8.163265
1,308,9.155556
1,411,9.181818
1,521,7.6923075
1,626,10.578947
1,728,9.714286
1,849,10.837838
1,953,12.903226
1,1077,13.5
1,1180,13.129032
1,1282,19.666666
1,1393,13.931034
1,1501,21.736841
1,1608,17.166666
1,1712,21.421053
1,1846,25.8125
1,1951,22.833334
1,2075,30.846153
1,2207,28.866667
1,2329,26.1875
1,2432,31.923077
1,2545,40.090908
1,2675,31.071428
1,2782,33.23077
1,2884,30.923077
1,2992,42.3
1,3095,58.285713
1,3203,50.666668
1,3320,50.75
1,3521,44.666668
1,3663,54.125
1,3765,52.11111
1,3884,40.0
1,4004,54.0
1,4125,55.125
1,4248,55.125
1,4394,44.88889
1,4508,46.666668
1,4652,57.42857
1,4878,64.14286
1,5070,81.0
1,5185,57.142857
1,5296,50.75
1,5435,66.14286
1,5598,67.28571
1,5818,66.833336
1,5927,47.444443
1,6165,76.666664
1,6326,65.85714
1,6464,86.2
1,6621,77.5
1,6796,69.0
1,6905,57.857143
1,7068,55.125
1,7187,61.375
1,7315,63.142857
1,7470,67.0
1,7571,50.75
1,7746,62.0
1,7935,59.0
1,8083,62.57143
1,8218,73.5
1,8377,84.333336
1,8500,67.57143
1,8630,80.4
1,8745,64.14286
1,8851,67.5
1,9033,61.714287
1,9138,81.8
1,9290,61.714287
1,9419,64.85714
1,9533,61.57143
1,9693,90.8
1,9840,84.6
1,10031,112.5
1,10252,90.6
1,10367,86.4
1,10486,94.6
1,10688,85.6
1,10791,108.25
1,10994,68.166664
1,11119,60.285713
1,11244,60.0
1,11346,56.375
1,11477,73.166664
1,11594,63.714287
1,11698,60.57143
1,11845,61.142857
1,11990,61.714287
1,12128,59.57143
1,12301,53.625
1,12471,74.166664
1,12609,84.0
1,12712,57.625
1,12867,99.4
1,13088,75.333336
1,13287,75.333336
1,13411,56.375
1,13548,59.0
