env_step,avg_eval_return
105,11.428572
206,16.653847
310,24.705883
435,23.647058
589,29.214285
719,44.8
845,40.3
949,41.3
1091,36.666668
1203,38.545456
1341,59.42857
1447,57.625
1593,71.71429
1717,72.333336
1866,78.5
2008,81.8
2116,53.625
2302,68.333336
2450,77.833336
2586,77.333336
2728,50.125
2869,40.5
2989,23.555555
3124,37.272728
3226,47.22222
3330,56.0
3447,65.0
3582,79.5
3748,124.25
3862,71.0
3987,79.666664
4120,82.4
4235,72.166664
4365,83.8
4539,101.8
4667,126.75
4824,194.66667
5019,202.33333
5209,139.25
5448,129.5
5582,53.25
5696,115.2
5862,216.0
6157,450.0
6723,406.0
6941,202.0
7254,181.0
7550,131.0
7890,152.66667
8039,105.0
8156,167.5
8293,207.5
8445,158.0
8641,172.0
8821,190.0
9013,185.0
9211,208.33333
9408,240.5
9648,292.0
9952,463.0
10435,1000.0
11435,1000.0
12435,1000.0
13435,1000.0
14435,1000.0
15435,1000.0
16435,626.0
17435,447.0
17913,319.0
18136,234.5
18354,477.0
18689,398.5
19068,534.0
20068,508.0
21072,1000.0
21292,1000.0
22292,1000.0
23292,1000.0
24292,1000.0
25292,596.0
25547,233.0
26079,676.0
26322,578.0
26604,148.0
27004,170.33333
27726,563.0
28285,1000.0
29285,1000.0
30285,1000.0
31285,1000.0
32285,1000.0
33285,1000.0
34285,1000.0
35285,1000.0
36285,1000.0
37285,1000.0
38285,1000.0
39285,1000.0
40285,1000.0
41285,1000.0
