seed,env_step,avg_eval_return
1,112,11.194445
1,222,14.785714
1,330,29.714285
1,451,23.588236
1,560,13.965517
1,670,12.212121
1,774,13.21875
1,885,17.782608
1,995,35.75
1,1096,23.0
1,1252,12.242424
1,1365,9.690476
1,1472,18.363636
1,1577,35.25
1,1711,45.0
1,1833,38.454544
1,1965,33.833332
1,2069,33.23077
1,2178,31.153847
1,2336,26.733334
1,2504,42.8
1,2628,36.636364
1,2820,33.733334
1,2930,27.0625
1,3055,29.2
1,3158,40.090908
1,3322,34.42857
1,3473,61.285713
1,3597,62.57143
1,3707,41.1
1,3868,26.8125
1,3983,30.846153
1,4086,44.6
1,4212,60.42857
1,4316,50.0
1,4430,52.22222
1,4545,55.5
1,4705,60.285713
1,4939,54.25
1,5056,81.4
1,5159,63.857143
1,5294,76.5
1,5399,59.875
1,5574,81.0
1,5724,107.0
1,5840,93.6
1,6001,72.14286
1,6143,96.0
1,6388,148.33333
1,6555,118.25
1,6741,131.5
1,6870,100.5
1,6984,83.0
1,7085,59.0
1,7209,23.68421
1,7330,86.6
1,7434,80.333336
1,7548,67.0
1,7699,50.625
1,7876,67.14286
1,8014,33.76923
1,8163,45.7
1,8286,69.333336
1,8409,39.416668
1,8526,60.714287
1,8660,38.363636
1,8777,38.166668
1,8942,36.583332
1,9046,50.22222
1,9165,46.333332
1,9331,57.875
1,9445,50.22222
1,9645,51.5
1,9811,64.25
1,9940,49.666668
1,10074,54.0
1,10270,67.166664
1,10464,74.666664
1,10614,94.4
1,10763,69.71429
1,10873,68.166664
1,10986,55.25
1,11086,63.42857
1,11194,39.636364
1,11314,34.25
1,11440,32.0
1,11560,48.555557
1,11673,39.363636
1,11797,41.0
1,11927,58.142857
1,12059,53.25
1,12186,79.0
1,12351,74.833336
1,12538,83.5
1,12698,201.0
1,12856,213.0
1,12965,246.5
1,13150,243.5
1,13352,145.25
1,13494,182.0
