seed,env_step,avg_eval_return
4,106,10.552631
4,207,16.64
4,323,23.764706
4,454,25.352942
4,575,20.25
4,691,40.4
4,807,32.53846
4,910,51.75
4,1042,40.18182
4,1145,25.5625
4,1259,21.578947
4,1386,45.11111
4,1508,43.6
4,1619,54.125
4,1762,64.85714
4,1908,52.875
4,2014,79.166664
4,2122,73.333336
4,2306,82.0
4,2483,86.0
4,2621,69.666664
4,2759,78.666664
4,2909,88.6
4,3088,86.4
4,3255,104.0
4,3450,120.0
4,3559,81.6
4,3734,94.4
4,3912,133.0
4,4032,106.0
4,4158,121.25
4,4370,126.25
4,4500,142.66667
4,4740,92.8
4,4924,102.0
4,5105,85.0
4,5223,76.333336
4,5339,52.875
4,5458,53.875
4,5597,71.0
4,5748,80.6
4,5879,133.33333
4,6019,140.0
4,6186,108.5
4,6290,85.8
4,6469,83.0
4,6672,131.25
4,6816,144.33333
4,7040,246.5
4,7214,550.0
4,7477,1000.0
4,8477,1000.0
4,9477,1000.0
4,10477,548.0
4,10613,653.0
4,11613,622.5
4,12613,659.0
4,13613,640.5
4,14613,1000.0
4,15613,1000.0
4,16613,1000.0
4,17613,565.5
4,18613,232.0
4,19620,258.4
4,20215,315.0
4,20471,1000.0
4,21042,502.5
4,22042,533.0
4,23130,1000.0
4,24130,1000.0
4,25130,1000.0
4,26130,1000.0
4,27130,1000.0
4,28130,1000.0
4,29130,1000.0
4,30130,1000.0
4,31130,1000.0
4,32130,578.0
4,33130,321.0
4,33274,1000.0
4,33802,412.0
4,33961,418.0
4,35025,628.0
4,36025,1000.0
4,37025,1000.0
4,38025,571.5
4,39025,1000.0
4,40025,1000.0
4,41025,1000.0
4,42025,1000.0
4,43025,1000.0
4,44025,1000.0
4,45025,1000.0
4,46025,1000.0
4,46912,1000.0
4,47912,720.0
4,48912,1000.0
4,49304,260.0
4,50265,956.0
4,50900,1000.0
