seed,env_step,avg_eval_return
1,102,13.862069
1,205,13.5
1,316,30.214285
1,444,19.047619
1,557,20.15
1,673,31.923077
1,800,31.153847
1,909,34.083332
1,1033,50.555557
1,1150,57.285713
1,1272,58.375
1,1372,44.3
1,1524,57.714287
1,1643,47.555557
1,1752,27.0625
1,1866,36.545456
1,1972,36.909092
1,2097,41.5
1,2200,44.555557
1,2328,41.7
1,2444,81.666664
1,2576,122.75
1,2776,63.0
1,2963,88.0
1,3224,101.25
1,3340,75.666664
1,3490,71.333336
1,3609,67.5
1,3747,66.0
1,3871,80.8
1,4038,218.5
1,4190,92.8
1,4399,81.6
1,4574,63.714287
1,4704,59.285713
1,4811,59.714287
1,4952,65.28571
1,5078,91.8
1,5271,130.5
1,5411,313.0
1,5731,197.0
1,5940,123.25
1,6075,119.75
1,6220,153.0
1,6386,170.33333
1,6558,143.33333
1,6782,150.75
1,7084,133.0
1,7336,254.0
1,7484,309.5
1,7667,202.0
1,7986,728.0
1,8141,337.25
1,8370,598.0
1,8546,1000.0
1,9546,1000.0
1,10546,759.0
1,11546,1000.0
1,12546,639.0
1,12666,739.0
1,13666,1000.0
1,14666,1000.0
1,15666,1000.0
1,16666,1000.0
1,17666,1000.0
1,18666,1000.0
1,19666,1000.0
1,20666,1000.0
1,21666,1000.0
1,22666,1000.0
1,23666,1000.0
1,24666,1000.0
1,25666,1000.0
1,26666,1000.0
1,27666,1000.0
1,28666,1000.0
1,29666,1000.0
1,30666,1000.0
1,31666,1000.0
1,32666,1000.0
1,33666,1000.0
1,34666,218.5
1,35582,257.0
1,35934,114.4
1,36071,229.75
1,36287,157.33333
1,36437,295.0
1,36556,1000.0
1,37556,1000.0
1,38556,1000.0
1,39556,3.0
1,39658,3.0
1,39760,3.0
1,39862,3.0
1,39964,3.0
1,40066,3.0
1,40168,3.0
1,40270,3.0
1,40372,3.0
1,40474,3.0
