seed,env_step,avg_eval_return
1,100,9.833333
1,211,12.181818
1,311,13.793103
1,414,31.846153
1,516,28.857143
1,638,48.555557
1,740,41.7
1,869,51.625
1,999,54.666668
1,1130,40.4
1,1281,44.444443
1,1390,32.76923
1,1543,45.4
1,1649,38.454544
1,1804,40.0
1,1915,53.125
1,2022,50.625
1,2186,51.75
1,2300,51.125
1,2432,24.277779
1,2551,23.647058
1,2651,23.529411
1,2783,32.846153
1,2889,41.7
1,3000,57.42857
1,3135,59.714287
1,3292,52.625
1,3426,81.833336
1,3553,41.4
1,3664,38.454544
1,3765,41.3
1,3880,45.1
1,3995,41.5
1,4135,84.6
1,4297,59.57143
1,4432,83.4
1,4556,80.4
1,4671,55.875
1,4807,79.666664
1,4952,150.33333
1,5123,85.666664
1,5271,124.5
1,5398,99.6
1,5508,231.33333
1,5927,96.8
1,6052,94.8
1,6279,163.66667
1,6405,89.4
1,6587,100.6
1,6748,104.5
1,6926,105.75
1,7103,110.0
1,7325,110.25
1,7453,138.33333
1,7554,81.6
1,7711,225.5
1,7841,73.5
1,8033,99.2
1,8149,55.375
1,8282,68.5
1,8401,77.833336
1,8514,78.5
1,8634,84.0
1,8737,91.2
1,8846,152.66667
1,8950,243.5
1,9257,141.0
1,9652,819.0
1,10187,1000.0
1,10870,481.0
1,11197,221.0
1,11501,574.0
1,11807,1000.0
1,12534,1000.0
1,13534,1000.0
1,13880,549.5
1,14930,1000.0
1,15315,1000.0
1,16315,521.5
1,17315,809.0
1,17533,1000.0
1,18533,513.0
1,19533,603.0
1,20533,614.0
1,21533,516.0
1,22533,1000.0
1,23533,1000.0
1,24533,1000.0
1,25533,1000.0
1,26533,1000.0
1,27533,1000.0
1,28533,1000.0
1,29533,16.0
1,29756,4.255319
1,29857,36.75
1,30033,590.0
1,31033,1000.0
1,32033,1000.0
1,33033,917.0
1,34033,1000.0
