env_step,avg_eval_return
105,11.405405
206,13.931034
322,27.266666
445,26.666666
563,41.2
704,69.0
823,37.545456
949,37.363636
1068,49.77778
1207,41.18182
1329,51.125
1430,53.0
1550,64.57143
1652,67.833336
1836,82.6
1986,108.5
2153,106.4
2363,100.8
2465,86.0
2587,69.5
2688,71.833336
2879,54.875
3012,48.555557
3140,69.333336
3246,73.5
3406,97.5
3603,120.25
3768,83.0
3873,80.8
4048,116.25
4158,104.0
4278,150.0
4422,121.25
4523,99.6
4662,100.0
4830,118.75
5125,139.75
5336,237.0
5595,117.0
5807,265.0
6112,125.0
6251,121.6
6494,119.75
6784,246.0
6953,136.75
7066,134.66667
7252,66.85714
7394,62.857143
7523,54.5
7657,50.333332
7790,57.5
7908,50.5
8014,41.8
8163,68.666664
8310,177.0
8423,270.5
8693,1000.0
9693,1000.0
10395,1000.0
11395,1000.0
12395,1000.0
13395,1000.0
14395,1000.0
15395,1000.0
16395,1000.0
17395,1000.0
18395,1000.0
19395,1000.0
20395,1000.0
21395,1000.0
22395,1000.0
23395,1000.0
24395,1000.0
25395,1000.0
26395,1000.0
27395,1000.0
28395,1000.0
29395,1000.0
30395,875.0
31395,257.0
31775,1000.0
32477,1000.0
33477,1000.0
34477,1000.0
35473,1000.0
36473,1000.0
37473,1000.0
38473,1000.0
39473,1000.0
40473,1000.0
41473,1000.0
42473,1000.0
43473,1000.0
44473,1000.0
45473,1000.0
46473,1000.0
47473,733.0
48473,1000.0
49473,1000.0
50045,1000.0
