env_step,avg_eval_return
106,9.780488
208,14.392858
315,15.222222
415,22.555555
532,29.333334
643,27.6
743,31.153847
896,31.23077
1050,36.083332
1153,31.384615
1270,36.545456
1380,41.454544
1509,55.75
1617,46.666668
1748,58.42857
1860,46.22222
2000,52.88889
2129,52.75
2252,73.333336
2434,70.14286
2539,39.81818
2722,46.333332
2850,50.625
2970,45.22222
3077,52.22222
3206,59.142857
3340,69.166664
3490,59.285713
3627,52.375
3783,63.0
3899,59.57143
4015,68.71429
4155,90.6
4346,83.2
4599,91.0
4710,97.8
4835,151.0
5056,113.8
5194,145.0
5453,138.33333
5715,184.0
5851,104.75
5979,110.5
6110,114.75
6290,74.5
6399,67.166664
6521,139.0
6636,186.0
6813,152.0
7059,103.75
7254,105.0
7359,114.75
7463,140.33333
7670,177.66667
7818,130.75
8008,162.33333
8225,1000.0
8566,471.0
9566,405.66666
10566,1000.0
11062,1000.0
12062,168.33333
12251,782.0
13251,1000.0
13863,1000.0
14863,1000.0
15141,1000.0
16141,1000.0
17141,951.0
18141,650.0
19141,1000.0
20141,1000.0
21141,561.0
22141,1000.0
23141,1000.0
24141,1000.0
25141,1000.0
26141,1000.0
27141,1000.0
28141,1000.0
29141,1000.0
30141,1000.0
31141,1000.0
32141,1000.0
33141,1000.0
34141,1000.0
34942,278.5
35099,1000.0
35835,143.0
35939,179.33333
36317,401.0
36418,1000.0
37418,1000.0
38418,1000.0
39418,1000.0
40418,1000.0
40786,578.0
41178,439.0
41410,104.5
41543,53.25
