seed,env_step,avg_eval_return
4,100,10.0
4,201,9.244445
4,305,15.148149
4,406,17.208334
4,515,22.5
4,631,16.64
4,744,25.0625
4,867,31.153847
4,981,28.642857
4,1090,21.31579
4,1193,26.666666
4,1306,18.454546
4,1409,27.266666
4,1527,25.6875
4,1631,29.214285
4,1740,36.636364
4,1871,36.909092
4,1989,27.466667
4,2138,23.666666
4,2239,25.125
4,2341,31.076923
4,2481,40.9
4,2605,73.333336
4,2725,64.85714
4,2834,52.125
4,2966,68.333336
4,3079,55.25
4,3257,83.4
4,3496,77.5
4,3615,92.2
4,3736,100.6
4,3899,56.125
4,4132,52.0
4,4258,51.625
4,4382,43.7
4,4492,36.23077
4,4606,41.7
4,4722,40.090908
4,4831,50.25
4,4954,75.0
4,5088,66.42857
4,5258,77.833336
4,5396,70.333336
4,5526,55.5
4,5637,52.25
4,5746,57.142857
4,5861,51.375
4,5979,71.0
4,6086,58.714287
4,6190,55.5
4,6322,83.0
4,6476,117.0
4,6602,160.33333
4,6709,166.66667
4,6863,168.25
4,7124,167.0
4,7261,151.0
4,7486,139.33333
4,7600,96.0
4,7796,68.166664
4,7926,89.8
4,8099,92.6
4,8230,59.42857
4,8347,124.5
4,8474,100.25
4,8630,97.0
4,8742,80.833336
4,8878,74.0
4,8984,61.857143
4,9118,76.333336
4,9275,104.5
4,9434,140.0
4,9554,313.0
4,9710,191.33333
4,10039,155.66667
4,10209,170.0
4,10341,345.0
4,10558,479.0
4,10955,608.5
4,11424,419.0
4,12367,448.0
4,13186,940.0
4,13289,555.5
4,14289,782.0
4,15385,400.0
4,16385,567.0
4,17209,894.0
4,17402,203.5
4,17602,633.0
4,17730,703.0
4,17885,220.5
4,18885,104.75
4,19207,246.5
4,19319,1000.0
4,19503,336.0
4,19638,1000.0
4,20638,1000.0
4,21638,1000.0
4,22638,1000.0
4,23638,1000.0
