env_step,avg_eval_return
109,8.645833
214,10.075
323,16.64
428,17.125
543,18.363636
643,26.933332
781,34.916668
901,35.333332
1025,51.375
1141,25.352942
1244,35.166668
1358,50.0
1464,57.57143
1578,50.5
1732,68.28571
1856,39.0
1995,48.0
2109,64.28571
2272,69.0
2382,76.166664
2505,109.0
2605,63.0
2707,57.857143
2830,52.0
2965,63.857143
3124,52.875
3289,68.333336
3457,108.25
3691,80.4
3813,125.0
3935,105.0
4050,107.75
4221,101.4
4422,91.2
4618,94.6
4744,88.6
5025,105.0
5181,67.666664
5339,98.0
5572,77.5
5803,62.25
5984,61.714287
6089,70.166664
6249,88.4
6386,85.0
6538,113.75
6681,124.0
6789,106.0
7010,82.2
7186,68.333336
7336,58.0
7441,63.714287
7577,62.42857
7730,84.4
7884,103.75
8011,224.5
8182,80.6
8290,71.333336
8444,69.666664
8625,59.714287
8730,71.833336
8921,77.166664
9210,142.25
9318,224.0
9601,463.0
9920,779.0
10519,442.0
10898,477.0
11166,343.0
11274,288.5
11771,177.33333
11900,118.25
12003,140.0
12160,103.0
12403,81.4
12574,81.666664
12714,120.75
12927,177.33333
13153,542.0
13902,1000.0
14902,1000.0
15902,1000.0
16902,1000.0
17902,1000.0
18902,1000.0
19902,1000.0
20902,1000.0
21902,1000.0
22902,433.0
23021,97.2
23857,1000.0
24857,1000.0
25857,1000.0
26857,1000.0
27857,1000.0
28857,1000.0
29857,1000.0
30857,1000.0
31857,1000.0
32857,1000.0
