seed,env_step,avg_eval_return
3,105,15.666667
3,218,19.190475
3,336,42.3
3,468,46.555557
3,571,51.875
3,672,53.375
3,772,39.636364
3,887,85.8
3,1039,85.8
3,1223,68.5
3,1379,81.4
3,1569,102.4
3,1809,67.25
3,1949,55.875
3,2093,74.14286
3,2232,71.5
3,2336,51.625
3,2443,53.25
3,2545,54.0
3,2668,58.285713
3,2811,45.555557
3,2945,54.375
3,3154,50.555557
3,3269,57.666668
3,3373,50.444443
3,3516,40.6
3,3630,29.428572
3,3739,31.5
3,3888,40.2
3,4003,48.333332
3,4137,47.7
3,4297,64.42857
3,4412,72.333336
3,4593,139.8
3,4701,83.2
3,5029,93.2
3,5146,104.5
3,5247,215.5
3,5408,159.66667
3,5596,225.0
3,5738,187.33333
3,5887,206.0
3,6020,254.5
3,6147,167.33333
3,6312,169.33333
3,6493,153.33333
3,6690,314.0
3,6885,188.33333
3,7035,228.5
3,7231,459.0
3,7593,1000.0
3,8015,1000.0
3,9015,1000.0
3,10015,1000.0
3,10230,1000.0
3,10524,990.0
3,11524,1000.0
3,12524,1000.0
3,13524,1000.0
3,14524,1000.0
3,15524,1000.0
3,16524,1000.0
3,17524,1000.0
3,18524,1000.0
3,19524,1000.0
3,20524,1000.0
3,21524,1000.0
3,22524,1000.0
3,23524,1000.0
3,24336,628.0
3,24462,1000.0
3,25462,1000.0
3,26462,1000.0
3,27462,1000.0
3,28462,517.5
3,29462,246.5
3,29898,212.5
3,30250,115.25
3,30457,285.0
3,30597,460.0
3,30771,255.0
3,31248,1000.0
3,32248,244.5
3,33248,1000.0
3,34248,1000.0
3,35248,1000.0
3,36248,1000.0
3,37248,786.0
3,38248,1000.0
3,38682,1000.0
3,39682,1000.0
3,40682,1000.0
3,41682,1000.0
3,42682,1000.0
3,43682,1000.0
3,44682,1000.0
3,45682,1000.0
3,46682,1000.0
3,47682,1000.0
3,48682,1000.0
