seed,env_step,avg_eval_return
5,105,10.973684
5,206,14.785714
5,320,27.0
5,420,21.65
5,535,29.2
5,651,45.77778
5,757,37.18182
5,883,53.0
5,1137,62.285713
5,1263,109.25
5,1390,36.083332
5,1522,66.14286
5,1641,75.666664
5,1851,49.333332
5,1968,55.375
5,2071,54.25
5,2208,47.333332
5,2361,56.0
5,2462,64.85714
5,2569,78.0
5,2794,102.0
5,2968,92.4
5,3168,70.0
5,3294,115.0
5,3414,108.25
5,3650,94.2
5,3858,100.5
5,4033,83.4
5,4165,70.833336
5,4319,95.8
5,4461,199.33333
5,4620,135.5
5,4779,117.25
5,4886,103.0
5,5010,125.5
5,5263,143.0
5,5459,299.0
5,5651,168.75
5,5841,109.25
5,6102,102.0
5,6340,105.25
5,6454,62.0
5,6576,68.166664
5,6724,55.75
5,6834,54.0
5,7017,51.875
5,7123,83.6
5,7262,112.5
5,7441,132.5
5,7560,279.0
5,8193,278.0
5,8336,99.0
5,8478,102.6
5,8591,141.66667
5,8703,85.4
5,8807,86.4
5,8960,81.666664
5,9066,120.5
5,9249,112.25
5,9423,290.0
5,9575,751.0
5,9956,286.5
5,10418,652.0
5,10538,134.25
5,10661,86.0
5,10831,90.0
5,10987,75.833336
5,11151,173.33333
5,11335,1000.0
5,12335,432.0
5,13335,1000.0
5,14329,254.0
5,14678,568.0
5,15347,276.66666
5,16347,186.66667
5,16478,161.25
5,16715,1000.0
5,16930,509.0
5,17143,1000.0
5,18143,1000.0
5,18680,1000.0
5,19680,482.0
5,20680,1000.0
5,21680,1000.0
5,22680,1000.0
5,23680,1000.0
5,24680,1000.0
5,25680,662.5
5,26680,1000.0
5,27680,1000.0
5,28680,1000.0
5,29680,1000.0
5,30680,1000.0
5,31680,502.5
5,32680,1000.0
5,33680,1000.0
5,34680,1000.0
5,35680,1000.0
5,36680,1000.0
5,37680,1000.0
